time,mode,idx,x,y,yaw,ref_x,ref_y,ref_yaw,track_error,yaw_error_deg,target_v,v,delta,drive_state,lane_offset,lane_active,mean_curvature
1787899210.213,FORWARD,0,0.1298,-0.0015,3.1402,0.0568,-0.0243,-3.0096,0.0765,-7.64,0.2800,0.2800,0.1870,DRIVE,0.0000,False,0.0432
1787899210.281,FORWARD,0,0.1335,0.0002,3.1391,0.0568,-0.0243,-3.0096,0.0805,-7.71,0.2800,0.2800,0.2764,DRIVE,0.0000,False,0.0432
1787899210.356,FORWARD,0,0.1351,0.0010,3.1380,0.0568,-0.0243,-3.0096,0.0823,-7.77,0.2800,0.2800,0.3190,DRIVE,0.0000,False,0.0432
1787899210.437,FORWARD,0,0.1347,0.0023,3.1374,0.0568,-0.0243,-3.0096,0.0823,-7.80,0.2800,0.2800,0.3408,DRIVE,0.0000,False,0.0432
1787899210.516,FORWARD,0,0.1339,0.0025,3.1381,0.0568,-0.0243,-3.0096,0.0816,-7.76,0.2800,0.2800,0.3502,DRIVE,0.0000,False,0.0432
1787899210.597,FORWARD,0,0.1300,0.0029,3.1407,0.0568,-0.0243,-3.0096,0.0781,-7.61,0.2800,0.2800,0.3527,DRIVE,0.0000,False,0.0432
1787899210.717,FORWARD,0,0.1212,-0.0037,-3.1345,0.0568,-0.0243,-3.0096,0.0676,-7.15,0.2795,0.2800,0.3371,DRIVE,0.0000,False,0.0432
1787899210.755,FORWARD,0,0.0973,-0.0007,-3.1081,0.0568,-0.0243,-3.0096,0.0469,-5.64,0.2796,0.2800,0.3069,DRIVE,0.0000,False,0.0432
1787899210.834,FORWARD,0,0.0702,0.0069,-3.0800,0.0568,-0.0243,-3.0096,0.0339,-4.03,0.2800,0.2800,0.2738,DRIVE,0.0000,False,0.0432
1787899210.914,FORWARD,0,0.0524,0.0016,-3.0519,0.0568,-0.0243,-3.0096,0.0263,-2.42,0.2800,0.2800,0.2200,DRIVE,0.0000,False,0.0432
1787899210.995,FORWARD,0,0.0408,-0.0040,-3.0315,0.0568,-0.0243,-3.0096,0.0259,-1.26,0.2800,0.2800,0.1637,DRIVE,0.0000,False,0.0432
1787899211.077,FORWARD,1,0.0246,-0.0098,-3.0086,0.0271,-0.0282,-3.0097,0.0186,0.06,0.2800,0.2800,0.1009,DRIVE,0.0000,False,0.0452
1787899211.155,FORWARD,2,0.0037,-0.0132,-2.9957,-0.0027,-0.0322,-3.0099,0.0200,0.82,0.2800,0.2800,0.0515,DRIVE,0.0000,False,0.0473
1787899211.237,FORWARD,3,-0.0209,-0.0198,-2.9736,-0.0325,-0.0361,-3.0103,0.0200,2.10,0.2800,0.2800,-0.0057,DRIVE,0.0000,False,0.0495
1787899211.316,FORWARD,3,-0.0368,-0.0227,-2.9685,-0.0325,-0.0361,-3.0103,0.0141,2.39,0.2800,0.2800,-0.0415,DRIVE,0.0000,False,0.0495
1787899211.395,FORWARD,3,-0.0493,-0.0230,-2.9636,-0.0325,-0.0361,-3.0103,0.0213,2.68,0.2800,0.2800,-0.0645,DRIVE,0.0000,False,0.0495
1787899211.482,FORWARD,4,-0.0668,-0.0220,-2.9588,-0.0623,-0.0401,-3.0108,0.0186,2.98,0.2800,0.2800,-0.0787,DRIVE,0.0000,False,0.0518
1787899211.556,FORWARD,4,-0.0783,-0.0300,-2.9692,-0.0623,-0.0401,-3.0108,0.0189,2.38,0.2800,0.2800,-0.0815,DRIVE,0.0000,False,0.0518
1787899211.635,FORWARD,5,-0.0906,-0.0401,-2.9732,-0.0920,-0.0440,-3.0114,0.0041,2.19,0.2800,0.2800,-0.0884,DRIVE,0.0000,False,0.0542
1787899211.727,FORWARD,6,-0.1139,-0.0440,-2.9758,-0.1218,-0.0479,-3.0121,0.0088,2.08,0.2250,0.2800,-0.0916,DRIVE,0.0000,False,0.0566
1787899211.796,FORWARD,7,-0.1443,-0.0444,-2.9765,-0.1516,-0.0517,-3.0129,0.0104,2.09,0.2800,0.2800,-0.0883,DRIVE,0.0000,False,0.0590
1787899211.964,FORWARD,8,-0.1805,-0.0484,-2.9909,-0.1814,-0.0556,-3.0138,0.0072,1.31,0.2445,0.2800,0.1018,OVERTAKE_LEFT,0.0000,False,0.0615
1787899212.036,FORWARD,8,-0.1794,-0.0556,-2.9998,-0.1814,-0.0556,-3.0138,0.0020,0.80,0.3025,0.2800,0.2741,OVERTAKE_LEFT,0.0000,False,0.0615
1787899212.115,FORWARD,8,-0.1906,-0.0603,-2.9969,-0.1814,-0.0556,-3.0138,0.0104,0.97,0.2000,0.2800,0.4443,OVERTAKE_LEFT,0.0000,False,0.0615
1787899212.197,FORWARD,9,-0.2100,-0.0570,-2.9921,-0.2112,-0.0594,-3.0148,0.0027,1.30,0.2000,0.2800,0.5800,OVERTAKE_LEFT,0.0000,False,0.0639
1787899212.285,FORWARD,10,-0.2313,-0.0551,-2.9751,-0.2410,-0.0632,-3.0159,0.0126,2.34,0.2000,0.2800,0.5800,OVERTAKE_LEFT,0.0000,False,0.0663
1787899212.359,FORWARD,11,-0.2590,-0.0587,-2.9452,-0.2708,-0.0669,-3.0170,0.0144,4.12,0.2646,0.2800,0.5800,OVERTAKE_LEFT,0.0000,False,0.0686
1787899212.437,FORWARD,11,-0.2783,-0.0613,-2.8991,-0.2708,-0.0669,-3.0170,0.0094,6.76,0.2000,0.2800,0.5800,OVERTAKE_LEFT,0.0000,False,0.0686
1787899212.518,FORWARD,12,-0.2962,-0.0693,-2.8665,-0.3006,-0.0706,-3.0183,0.0045,8.70,0.2000,0.2800,0.5800,OVERTAKE_LEFT,0.0000,False,0.0708
1787899212.597,FORWARD,12,-0.3050,-0.0787,-2.8330,-0.3006,-0.0706,-3.0183,0.0092,10.62,0.2000,0.4770,0.5800,OVERTAKE_LEFT,0.0000,False,0.0708
1787899212.679,FORWARD,13,-0.3187,-0.0846,-2.8079,-0.3304,-0.0743,-3.0196,0.0155,12.13,0.2176,0.5166,0.5800,OVERTAKE_LEFT,0.0000,False,0.0729
1787899212.761,FORWARD,13,-0.3321,-0.0884,-2.7801,-0.3304,-0.0743,-3.0196,0.0142,13.72,0.2098,0.5189,0.5800,OVERTAKE_LEFT,0.0000,False,0.0729
1787899212.840,FORWARD,14,-0.3563,-0.0921,-2.7361,-0.3602,-0.0779,-3.0209,0.0147,16.32,0.1995,0.5485,0.5800,OVERTAKE_LEFT,0.0000,False,0.0748
1787899212.916,FORWARD,15,-0.3817,-0.1029,-2.6740,-0.3900,-0.0815,-3.0224,0.0230,19.96,0.1872,0.5874,0.5800,OVERTAKE_LEFT,0.0000,False,0.0765
1787899212.996,FORWARD,16,-0.4141,-0.1272,-2.6278,-0.4198,-0.0851,-3.0239,0.0425,22.69,0.1735,0.5997,0.5800,OVERTAKE_LEFT,0.0000,False,0.0781
1787899213.078,FORWARD,17,-0.4394,-0.1423,-2.5597,-0.4497,-0.0886,-3.0254,0.0547,26.68,0.1588,0.6000,0.5087,OVERTAKE_LEFT,0.0000,False,0.0795
1787899213.156,FORWARD,18,-0.4674,-0.1675,-2.5008,-0.4795,-0.0920,-3.0271,0.0764,30.15,0.1477,0.6000,0.3782,OVERTAKE_LEFT,0.0000,False,0.0806
1787899213.236,FORWARD,19,-0.4919,-0.1894,-2.4332,-0.5093,-0.0954,-3.0288,0.0956,34.13,0.1304,0.6000,0.2154,OVERTAKE_LEFT,0.0000,False,0.0816
1787899213.316,FORWARD,20,-0.5173,-0.2164,-2.3681,-0.5392,-0.0988,-3.0306,0.1196,37.96,0.1129,0.6000,0.0364,OVERTAKE_LEFT,0.0000,False,0.0823
1787899213.399,FORWARD,20,-0.5390,-0.2373,-2.3127,-0.5392,-0.0988,-3.0306,0.1385,41.13,0.0952,0.6000,-0.1211,OVERTAKE_LEFT,0.0000,False,0.0823
1787899213.482,FORWARD,21,-0.5629,-0.2705,-2.2777,-0.5690,-0.1021,-3.0324,0.1685,43.24,0.0820,0.6000,-0.2724,OVERTAKE_LEFT,0.0000,False,0.0827
1787899213.562,FORWARD,22,-0.5893,-0.3048,-2.2695,-0.5989,-0.1053,-3.0344,0.1997,43.82,0.0721,0.6000,-0.3925,OVERTAKE_LEFT,0.0000,False,0.0830
1787899213.642,FORWARD,23,-0.6068,-0.3296,-2.2944,-0.6287,-0.1085,-3.0364,0.2222,42.51,0.0602,0.6000,-0.4489,OVERTAKE_LEFT,0.0000,False,0.0830
1787899213.721,FORWARD,24,-0.6325,-0.3483,-2.3224,-0.6586,-0.1116,-3.0384,0.2381,41.03,0.0451,0.6000,-0.4681,OVERTAKE_LEFT,0.0000,False,0.0828
1787899213.795,FORWARD,25,-0.6624,-0.3732,-2.3861,-0.6885,-0.1147,-3.0406,0.2598,37.50,0.0338,0.6000,-0.4440,OVERTAKE_LEFT,0.0000,False,0.0823
1787899213.888,FORWARD,26,-0.6985,-0.4053,-2.4648,-0.7184,-0.1177,-3.0428,0.2882,33.12,0.0254,0.6000,-0.3997,OVERTAKE_LEFT,0.0000,False,0.0816
1787899213.959,FORWARD,27,-0.7323,-0.4280,-2.4930,-0.7483,-0.1206,-3.0451,0.3078,31.64,0.0190,0.5907,-0.3858,OVERTAKE_LEFT,0.0000,False,0.0806
1787899214.039,FORWARD,28,-0.7479,-0.4556,-2.5803,-0.7782,-0.1235,-3.0476,0.3335,26.77,0.0143,0.5439,-0.3190,OVERTAKE_LEFT,0.0000,False,0.0794
1787899214.118,FORWARD,28,-0.7700,-0.4749,-2.6177,-0.7782,-0.1235,-3.0476,0.3516,24.63,0.0107,0.4960,-0.2840,OVERTAKE_LEFT,0.0000,False,0.0794
1787899214.196,FORWARD,29,-0.8052,-0.4861,-2.6777,-0.8081,-0.1263,-3.0500,0.3599,21.34,0.0080,0.4564,-0.2171,OVERTAKE_LEFT,0.0000,False,0.0780
1787899214.280,FORWARD,31,-0.8502,-0.5033,-2.7139,-0.8679,-0.1316,-3.0553,0.3721,19.56,0.0060,0.4526,-0.1606,OVERTAKE_LEFT,0.0000,False,0.0743
1787899214.360,FORWARD,32,-0.8765,-0.5230,-2.7504,-0.8978,-0.1342,-3.0581,0.3894,17.63,0.0045,0.4354,-0.1167,OVERTAKE_LEFT,0.0000,False,0.0721
1787899214.441,FORWARD,32,-0.8928,-0.5397,-2.7798,-0.8978,-0.1342,-3.0581,0.4056,15.94,0.0034,0.3997,-0.0895,OVERTAKE_LEFT,0.0000,False,0.0721
1787899214.516,FORWARD,33,-0.9252,-0.5502,-2.8064,-0.9277,-0.1366,-3.0610,0.4136,14.59,0.0025,0.3849,-0.0590,OVERTAKE_LEFT,0.0000,False,0.0697
