t,tf_t,x,y,theta,yaw_deg,reason
1781701247.445552,1781701245.541346,0.107379,-0.025313,-3.073200,-176.081,first
1781701247.978483,1781701247.941119,0.107379,-0.025313,-3.072699,-176.053,time
1781701248.478516,1781701248.441417,0.107379,-0.025313,-3.072503,-176.041,time
1781701249.028340,1781701248.991319,0.107379,-0.025313,-3.072179,-176.023,time
1781701249.528404,1781701249.491368,0.107379,-0.025313,-3.071936,-176.009,time
1781701250.028481,1781701249.991139,0.107379,-0.025313,-3.071916,-176.008,time
1781701250.581184,1781701250.541270,0.107379,-0.025313,-3.071612,-175.990,time
1781701251.128349,1781701251.091216,0.107379,-0.025313,-3.071310,-175.973,time
1781701251.628436,1781701251.591267,0.107379,-0.025313,-3.071254,-175.970,time
1781701252.178386,1781701252.145290,0.107379,-0.025313,-3.071023,-175.957,time
1781701252.678386,1781701252.641192,0.124909,-0.024073,-3.071226,-175.968,time
1781701252.928365,1781701252.891117,0.145206,-0.022654,-3.072725,-176.054,distance
1781701253.128444,1781701253.090957,0.165343,-0.021280,-3.074499,-176.156,distance
1781701253.629912,1781701253.591074,0.170510,-0.017217,-3.063263,-175.512,time
1781701254.178595,1781701254.141321,0.170510,-0.017217,-3.063235,-175.510,time
1781701254.728416,1781701254.691125,0.170510,-0.017217,-3.063158,-175.506,time
1781701255.278419,1781701255.241054,0.170510,-0.017217,-3.063033,-175.499,time
1781701255.828345,1781701255.791194,0.170510,-0.017217,-3.062921,-175.492,time
1781701256.378398,1781701256.341199,0.170510,-0.017217,-3.062737,-175.482,time
1781701256.878604,1781701256.841331,0.170510,-0.017217,-3.062598,-175.474,time
1781701257.428617,1781701257.391140,0.170510,-0.017217,-3.062500,-175.468,time
1781701257.978572,1781701257.941003,0.174300,-0.016916,-3.062444,-175.465,time
1781701258.528402,1781701258.490972,0.173364,-0.016990,-3.062329,-175.459,time
1781701259.078357,1781701259.040992,0.166733,-0.017517,-3.062239,-175.453,time
1781701259.528388,1781701259.491307,0.143841,-0.019361,-3.059959,-175.323,distance
1781701259.778371,1781701259.740959,0.122530,-0.021122,-3.058159,-175.220,distance
1781701259.978536,1781701259.941076,0.101680,-0.022877,-3.056774,-175.140,distance
1781701260.528375,1781701260.491076,0.079159,-0.025503,-3.063343,-175.517,distance
