t,tf_t,x,y,theta,yaw_deg,reason
1781809579.900099,1781809577.604686,0.177489,0.067537,-3.110803,-178.236,first
1781809580.412541,1781809580.367234,0.177489,0.067537,-3.109696,-178.172,time
1781809580.962489,1781809580.917473,0.177489,0.067537,-3.109540,-178.163,time
1781809581.512458,1781809581.467483,0.177489,0.067537,-3.109278,-178.148,time
1781809582.062404,1781809582.017133,0.177489,0.067537,-3.109059,-178.136,time
1781809582.562459,1781809582.517416,0.177489,0.067537,-3.108888,-178.126,time
1781809583.112535,1781809583.067325,0.177489,0.067537,-3.108645,-178.112,time
1781809583.612849,1781809583.567466,0.177489,0.067537,-3.108363,-178.096,time
1781809584.162384,1781809584.117396,0.177489,0.067537,-3.108156,-178.084,time
1781809584.662402,1781809584.617330,0.177489,0.067537,-3.107918,-178.071,time
1781809585.212408,1781809585.167160,0.177489,0.067537,-3.107638,-178.055,time
1781809585.712618,1781809585.667059,0.177489,0.067537,-3.107432,-178.043,time
1781809586.262434,1781809586.217144,0.177489,0.067537,-3.107178,-178.028,time
1781809586.762449,1781809586.717321,0.177489,0.067537,-3.106962,-178.016,time
1781809587.312401,1781809587.267420,0.177489,0.067537,-3.106768,-178.005,time
1781809587.862347,1781809587.817275,0.177489,0.067537,-3.106647,-177.998,time
1781809588.362400,1781809588.317065,0.177489,0.067537,-3.106430,-177.985,time
1781809588.912479,1781809588.867130,0.177489,0.067537,-3.106229,-177.974,time
1781809589.462471,1781809589.417025,0.177489,0.067537,-3.105975,-177.959,time
1781809590.012816,1781809589.967074,0.177489,0.067537,-3.105672,-177.942,time
1781809590.562396,1781809590.517394,0.177489,0.067537,-3.105468,-177.930,time
1781809591.062404,1781809591.017081,0.177489,0.067537,-3.105203,-177.915,time
1781809591.562464,1781809591.517176,0.177489,0.067537,-3.105008,-177.904,time
1781809592.112527,1781809592.067207,0.177489,0.067537,-3.104855,-177.895,time
1781809592.662356,1781809592.617035,0.177489,0.067537,-3.104664,-177.884,time
1781809593.162500,1781809593.117356,0.177489,0.067537,-3.104480,-177.874,time
1781809593.712381,1781809593.667207,0.177489,0.067537,-3.104178,-177.856,time
1781809594.212564,1781809594.167091,0.177489,0.067537,-3.103996,-177.846,time
1781809594.762404,1781809594.717082,0.177489,0.067537,-3.103709,-177.829,time
1781809595.312475,1781809595.267119,0.177489,0.067537,-3.103463,-177.815,time
1781809595.816028,1781809595.767199,0.177489,0.067537,-3.103288,-177.805,time
1781809596.362374,1781809596.317237,0.177489,0.067537,-3.103063,-177.792,time
1781809596.862403,1781809596.817426,0.177489,0.067537,-3.102786,-177.777,time
1781809597.362514,1781809597.317268,0.177489,0.067537,-3.102572,-177.764,time
1781809597.912340,1781809597.867183,0.177489,0.067537,-3.102428,-177.756,time
1781809598.412355,1781809598.367213,0.177489,0.067537,-3.102183,-177.742,time
1781809598.912608,1781809598.867093,0.177489,0.067537,-3.101987,-177.731,time
1781809599.412859,1781809599.367096,0.177489,0.067537,-3.101744,-177.717,time
1781809599.962502,1781809599.917096,0.177489,0.067537,-3.101556,-177.706,time
