t_rx,seq,age_gap_ms,x,y,yaw,v,localized,moving,qcar_idx,rosbot_idx,gap,lat_offset,on_path
1787899184.667,8112,-1,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899184.762,8113,94,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899184.863,8114,101,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899185.269,8115,93,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899185.284,8118,314,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899185.390,8119,97,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899185.483,8120,110,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899185.577,8121,84,-1.121,-0.075,-3.086,0.000,1,0,537,39,1.261,-0.075,1
1787899185.686,8122,106,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899185.786,8123,101,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899185.863,8124,93,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899185.964,8125,100,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899186.086,8126,103,-1.121,-0.075,-3.086,0.000,1,0,537,39,1.261,-0.075,1
1787899186.178,8127,91,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899186.263,8128,106,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899186.381,8129,107,-1.121,-0.075,-3.086,0.000,1,0,537,39,1.261,-0.075,1
1787899186.463,8130,97,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899186.562,8131,96,-1.121,-0.075,-3.086,0.000,1,0,537,39,1.261,-0.075,1
1787899186.662,8132,100,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899186.762,8133,101,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899186.864,8134,104,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899186.973,8135,102,-1.121,-0.075,-3.086,0.000,1,0,537,39,1.261,-0.075,1
1787899187.064,8136,93,-1.121,-0.075,-3.086,0.000,1,0,537,39,1.261,-0.075,1
1787899187.163,8137,100,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899187.265,8138,100,-1.121,-0.075,-3.086,0.000,1,0,537,39,1.261,-0.075,1
1787899187.369,8139,101,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899187.463,8140,95,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899187.563,8141,104,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899187.680,8142,103,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899187.764,8143,99,-1.121,-0.075,-3.086,0.000,1,0,537,39,1.261,-0.075,1
1787899187.862,8144,98,-1.121,-0.075,-3.086,0.000,1,0,537,39,1.261,-0.075,1
1787899187.962,8145,100,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899188.062,8146,100,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899188.162,8147,100,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899188.263,8148,102,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899188.370,8149,99,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899188.463,8150,99,-1.121,-0.075,-3.086,0.000,1,0,537,39,1.261,-0.075,1
1787899188.563,8151,100,-1.121,-0.075,-3.086,0.000,1,0,537,39,1.261,-0.075,1
1787899188.663,8152,101,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899188.763,8153,99,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899188.863,8154,100,-1.121,-0.075,-3.086,0.000,1,0,537,39,1.261,-0.075,1
1787899188.963,8155,100,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899189.063,8156,98,-1.121,-0.075,-3.086,0.000,1,0,537,39,1.261,-0.075,1
1787899189.162,8157,100,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899189.263,8158,102,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899189.363,8159,100,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899189.464,8160,99,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899189.563,8161,102,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899189.663,8162,96,-1.121,-0.075,-3.086,0.000,1,0,537,39,1.261,-0.075,1
1787899189.763,8163,102,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899189.863,8164,98,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899189.963,8165,103,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899190.062,8166,100,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899190.163,8167,100,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899190.263,8168,100,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899190.364,8169,101,-1.121,-0.075,-3.086,0.000,1,0,537,39,1.261,-0.075,1
1787899190.464,8170,101,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899190.563,8171,95,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899190.663,8172,100,-1.121,-0.075,-3.086,0.000,1,0,537,39,1.261,-0.075,1
1787899190.763,8173,103,-1.121,-0.075,-3.086,0.000,1,0,537,39,1.261,-0.075,1
1787899190.862,8174,100,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899190.963,8175,100,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899191.062,8176,101,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899191.163,8177,99,-1.121,-0.075,-3.086,0.000,1,0,537,39,1.261,-0.075,1
1787899191.263,8178,94,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899191.363,8179,106,-1.121,-0.075,-3.086,0.000,1,0,537,39,1.261,-0.075,1
1787899191.463,8180,97,-1.121,-0.075,-3.086,0.000,1,0,537,39,1.261,-0.075,1
1787899191.564,8181,103,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899191.663,8182,100,-1.121,-0.075,-3.086,0.000,1,0,537,39,1.261,-0.075,1
1787899191.763,8183,93,-1.121,-0.075,-3.086,0.000,1,0,537,39,1.261,-0.075,1
1787899191.864,8184,104,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899191.962,8185,106,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899192.063,8186,94,-1.121,-0.075,-3.086,0.000,1,0,537,39,1.261,-0.075,1
1787899192.163,8187,104,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899192.263,8188,99,-1.121,-0.075,-3.086,0.000,1,0,537,39,1.261,-0.075,1
1787899192.363,8189,100,-1.121,-0.075,-3.086,0.000,1,0,537,39,1.261,-0.075,1
1787899192.463,8190,101,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899192.563,8191,98,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899192.662,8192,100,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899192.762,8193,101,-1.121,-0.075,-3.086,0.000,1,0,537,39,1.261,-0.075,1
1787899192.862,8194,99,-1.121,-0.075,-3.086,0.000,1,0,537,39,1.261,-0.075,1
1787899192.962,8195,100,-1.121,-0.075,-3.086,0.000,1,0,537,39,1.261,-0.075,1
1787899193.062,8196,101,-1.121,-0.075,-3.086,0.000,1,0,537,39,1.261,-0.075,1
1787899193.162,8197,101,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899193.262,8198,99,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899193.362,8199,100,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899193.462,8200,101,-1.121,-0.075,-3.086,0.000,1,0,537,39,1.261,-0.075,1
1787899193.562,8201,98,-1.121,-0.075,-3.086,0.000,1,0,537,39,1.261,-0.075,1
1787899193.662,8202,100,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899193.764,8203,97,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899193.864,8204,103,-1.121,-0.075,-3.086,0.000,1,0,537,39,1.261,-0.075,1
1787899193.963,8205,100,-1.121,-0.075,-3.086,0.000,1,0,537,39,1.261,-0.075,1
1787899194.062,8206,100,-1.121,-0.075,-3.086,0.000,1,0,537,39,1.261,-0.075,1
1787899194.162,8207,99,-1.121,-0.075,-3.086,0.000,1,0,537,39,1.261,-0.075,1
1787899194.262,8208,100,-1.121,-0.075,-3.086,0.000,1,0,537,39,1.261,-0.075,1
1787899194.362,8209,102,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899194.463,8210,99,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899194.564,8211,100,-1.121,-0.075,-3.086,0.000,1,0,537,39,1.261,-0.075,1
1787899194.664,8212,101,-1.121,-0.075,-3.086,0.000,1,0,537,39,1.261,-0.075,1
1787899194.763,8213,93,-1.121,-0.075,-3.086,0.000,1,0,537,39,1.261,-0.075,1
1787899194.864,8214,105,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899194.964,8215,101,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899195.064,8216,101,-1.121,-0.075,-3.086,0.000,1,0,537,39,1.261,-0.075,1
1787899195.164,8217,98,-1.121,-0.075,-3.086,0.000,1,0,537,39,1.261,-0.075,1
1787899195.262,8218,99,-1.121,-0.075,-3.086,0.000,1,0,537,39,1.261,-0.075,1
1787899195.364,8219,102,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899195.463,8220,100,-1.121,-0.075,-3.086,0.000,1,0,537,39,1.261,-0.075,1
1787899195.563,8221,99,-1.121,-0.075,-3.086,0.000,1,0,537,39,1.261,-0.075,1
1787899195.663,8222,101,-1.121,-0.075,-3.086,0.000,1,0,537,39,1.261,-0.075,1
1787899195.762,8223,97,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899195.863,8224,103,-1.121,-0.075,-3.086,0.000,1,0,537,39,1.261,-0.075,1
1787899195.964,8225,101,-1.121,-0.075,-3.086,0.000,1,0,537,39,1.261,-0.075,1
1787899196.063,8226,97,-1.121,-0.075,-3.086,0.000,1,0,537,39,1.261,-0.075,1
1787899196.163,8227,99,-1.121,-0.075,-3.086,0.000,1,0,537,39,1.261,-0.075,1
1787899196.262,8228,103,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899196.362,8229,101,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899196.462,8230,99,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899196.563,8231,100,-1.121,-0.075,-3.086,0.000,1,0,537,39,1.261,-0.075,1
1787899196.663,8232,98,-1.121,-0.075,-3.086,0.000,1,0,537,39,1.261,-0.075,1
1787899196.762,8233,107,-1.121,-0.075,-3.086,0.000,1,0,537,39,1.261,-0.075,1
1787899196.862,8234,95,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899196.962,8235,100,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899197.063,8236,102,-1.121,-0.075,-3.086,0.000,1,0,537,39,1.261,-0.075,1
1787899197.163,8237,93,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899197.263,8238,106,-1.121,-0.075,-3.086,0.000,1,0,537,39,1.261,-0.075,1
1787899197.363,8239,101,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899197.463,8240,98,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899197.564,8241,100,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899197.662,8242,99,-1.121,-0.075,-3.086,0.000,1,0,537,39,1.261,-0.075,1
1787899197.763,8243,97,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899197.862,8244,105,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899197.963,8245,99,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899198.063,8246,101,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899198.164,8247,96,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899198.264,8248,99,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899198.362,8249,103,-1.121,-0.075,-3.086,0.000,1,0,537,39,1.261,-0.075,1
1787899198.464,8250,98,-1.121,-0.075,-3.086,0.000,1,0,537,39,1.261,-0.075,1
1787899198.565,8251,100,-1.121,-0.075,-3.086,0.000,1,0,537,39,1.261,-0.075,1
1787899198.665,8252,101,-1.121,-0.075,-3.086,0.000,1,0,537,39,1.261,-0.075,1
1787899198.762,8253,104,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899198.863,8254,98,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899198.962,8255,97,-1.121,-0.075,-3.086,0.000,1,0,537,39,1.261,-0.075,1
1787899199.063,8256,105,-1.121,-0.075,-3.086,0.000,1,0,537,39,1.261,-0.075,1
1787899199.163,8257,99,-1.121,-0.075,-3.086,0.000,1,0,537,39,1.261,-0.075,1
1787899199.262,8258,101,-1.121,-0.075,-3.086,0.000,1,0,537,39,1.261,-0.075,1
1787899199.363,8259,95,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
1787899199.463,8260,103,-1.121,-0.075,-3.086,0.000,1,0,538,39,1.231,-0.075,1
